Date,Commits,Forks,Watchers,Stars,Size
2012-09-18,0,1,,0,
2012-09-19,0,1,,0,
2012-09-20,0,1,,0,
2012-09-21,0,1,,0,
2012-09-22,0,1,,0,
2012-09-23,0,1,,0,
2012-09-24,0,1,,0,
2012-09-25,0,1,,0,
2012-09-26,0,1,,0,
2012-09-27,0,1,,0,
2012-09-28,0,1,,0,
2012-09-29,0,1,,0,
2012-09-30,0,1,,0,
2012-10-01,0,1,,0,
2012-10-02,0,1,,0,
2012-10-03,0,2,,0,
2012-10-04,0,2,,0,
2012-10-05,0,2,,0,
2012-10-06,0,2,,0,
2012-10-07,0,2,,0,
2012-10-08,0,2,,0,
2012-10-09,0,2,,0,
2012-10-10,0,2,,0,
2012-10-11,0,2,,0,
2012-10-12,0,2,,0,
2012-10-13,0,2,,0,
2012-10-14,0,3,,0,
2012-10-15,0,3,,0,
2012-10-16,0,3,,0,
2012-10-17,0,3,,0,
2012-10-18,0,3,,0,
2012-10-19,0,3,,0,
2012-10-20,0,3,,0,
2012-10-21,0,3,,0,
2012-10-22,0,4,,0,
2012-10-23,0,4,,0,
2012-10-24,0,4,,0,
2012-10-25,0,4,,0,
2012-10-26,0,4,,0,
2012-10-27,0,4,,0,
2012-10-28,0,4,,0,
2012-10-29,0,4,,0,
2012-10-30,0,4,,0,
2012-10-31,0,4,,0,
2012-11-01,0,4,,0,
2012-11-02,0,4,,0,
2012-11-03,0,4,,0,
2012-11-04,0,5,,0,
2012-11-05,0,5,,0,
2012-11-06,0,5,,0,
2012-11-07,0,5,,0,
2012-11-08,0,5,,0,
2012-11-09,0,5,,0,
2012-11-10,0,5,,0,
2012-11-11,0,6,,0,
2012-11-12,0,6,,0,
2012-11-13,0,6,,0,
2012-11-14,0,6,,0,
2012-11-15,0,7,,0,
2012-11-16,0,7,,0,
2012-11-17,0,7,,0,
2012-11-18,0,8,,0,
2012-11-19,0,8,,0,
2012-11-20,0,8,,0,
2012-11-21,0,8,,0,
2012-11-22,0,8,,0,
2012-11-23,0,8,,0,
2012-11-24,0,8,,0,
2012-11-25,0,8,,0,
2012-11-26,0,8,,0,
2012-11-27,0,8,,0,
2012-11-28,0,8,,0,
2012-11-29,0,8,,0,
2012-11-30,0,8,,0,
2012-12-01,0,8,,0,
2012-12-02,0,8,,0,
2012-12-03,0,8,,0,
2012-12-04,0,8,,0,
2012-12-05,0,8,,0,
2012-12-06,0,8,,0,
2012-12-07,0,8,,0,
2012-12-08,0,8,,0,
2012-12-09,0,8,,0,
2012-12-10,0,8,,0,
2012-12-11,0,8,,0,
2012-12-12,0,8,,0,
2012-12-13,0,8,,0,
2012-12-14,0,8,,0,
2012-12-15,0,8,,0,
2012-12-16,0,8,,0,
2012-12-17,0,8,,0,
2012-12-18,0,8,,0,
2012-12-19,0,8,,0,
2012-12-20,0,8,,0,
2012-12-21,0,8,,0,
2012-12-22,0,8,,0,
2012-12-23,0,8,,0,
2012-12-24,0,8,,0,
2012-12-25,0,8,,0,
2012-12-26,0,8,,0,
2012-12-27,0,8,,0,
2012-12-28,0,8,,0,
2012-12-29,0,8,,0,
2012-12-30,0,8,,0,
2012-12-31,0,8,,0,
2013-01-01,0,8,,0,
2013-01-02,0,8,,0,
2013-01-03,0,8,,0,
2013-01-04,0,8,,0,
2013-01-05,0,8,,0,
2013-01-06,0,8,,0,
2013-01-07,0,8,,0,
2013-01-08,0,8,,0,
2013-01-09,0,8,,0,
2013-01-10,0,8,,0,
2013-01-11,0,8,,0,
2013-01-12,0,8,,0,
2013-01-13,0,8,,0,
2013-01-14,0,8,,0,
2013-01-15,0,8,,0,
2013-01-16,0,8,,0,
2013-01-17,0,8,,0,
2013-01-18,0,8,,0,
2013-01-19,0,8,,0,
2013-01-20,0,8,,0,
2013-01-21,0,8,,0,
2013-01-22,0,8,,0,
2013-01-23,0,8,,0,
2013-01-24,0,8,,0,
2013-01-25,0,8,,0,
2013-01-26,0,8,,0,
2013-01-27,0,8,,0,
2013-01-28,0,8,,0,
2013-01-29,0,8,,0,
2013-01-30,0,8,,0,
2013-01-31,0,8,,0,
2013-02-01,0,8,,0,
2013-02-02,0,8,,0,
2013-02-03,0,8,,0,
2013-02-04,0,9,,0,
2013-02-05,0,9,,0,
2013-02-06,0,9,,0,
2013-02-07,0,9,,0,
2013-02-08,0,9,,0,
2013-02-09,0,9,,0,
2013-02-10,0,9,,0,
2013-02-11,0,10,,0,
2013-02-12,0,10,,0,
2013-02-13,0,10,,0,
2013-02-14,0,10,,0,
2013-02-15,0,10,,0,
2013-02-16,0,10,,0,
2013-02-17,0,10,,0,
2013-02-18,0,10,,0,
2013-02-19,0,10,,0,
2013-02-20,0,10,,0,
2013-02-21,0,10,,0,
2013-02-22,0,10,,0,
2013-02-23,0,10,,0,
2013-02-24,0,10,,0,
2013-02-25,0,10,,0,
